Variety,Country,Class,AALow.pct,AAHigh.pct,BALow.pct,BAHigh.pct,TOLow.mL100g,TOHigh.mL100g,CohumuloneLow.pct,CohumuloneHigh.pct,BPineneLow.pct,BPineneHigh.pct,MyrceneLow.pct,MyrceneHigh.pct,LinaloolLow.pct,LinaloolHigh.pct,CaryophylleneLow.pct,CaryophylleneHigh.pct,FarnseneLow.pct,FarnseneHigh.pct,HumuleneLow.pct,HumuleneHigh.pct,GerianolLow.pct,GerianolHigh.pct
East Kent Golding,UK,D,4.5,6.5,1.9,2.8,0.4,0.8,28,32,NA,NA,29,31,NA,NA,12,16,0.5,0.5,38,44,0,0
Ekuanot HBC366,US,A,13,15.5,4,5,2.5,4,31,36,0.4,0.8,30,45,0.2,0.5,8,12,0.5,0.5,12,20,0.2,0.2
Ella,AU,D,13.3,16.3,4.8,7.8,2.4,3.4,34,38,NA,NA,40,50,NA,NA,12,18,0.5,0.5,16,22,0,0
Falconer's Flight 7C's,US,A,9,10.5,4.7,5.1,1.7,1.7,0,48,0,2,0,70,0,2,0,20,0,20,0,55,0,0
Falconer's Flight,US,A,9,12,4,5,1.6,4.6,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
First Gold,UK,D,5.6,9.3,2.3,4.1,0.7,1.5,32,34,NA,NA,24,27,NA,NA,6,7,2,4,20,24,0,0
Fuggle,UK,A,3,5.6,2,3,0.7,1.4,25,30,NA,NA,24,28,NA,NA,9,13,NA,NA,33,38,0,0
Galaxy,AU,D,11.6,16,5,6.9,3,5,32,42,NA,NA,33,69,NA,NA,7,9,2,4,1,2,0,0
Galena,US,B,13,15,7.5,8.5,1.3,2.1,34,39,0.4,0.7,40,50,0.1,0.3,5,9,0.5,0.5,11,17,0.5,0.8
Glacier,US,D,4,7.5,7,10,0.8,1,13,16,0.2,0.6,35,45,0.8,1.1,8,13,0.5,0.5,25,35,0.2,0.3
Gold (SI),SI,A,3.5,6.5,3.5,5.9,1.3,2.3,NA,NA,NA,NA,38,47,1.3,2,NA,NA,NA,NA,NA,NA,0,0
Golding (US),US,A,3,6.5,2,3.5,0.4,1,25,28,0.3,0.5,25,35,0.6,0.9,10,15,0.5,0.5,35,45,0.1,0.1
Golding (UK),UK,A,4,6,2,3,0.7,1,23,28,NA,NA,25,35,NA,NA,13,16,0.5,0.5,35,45,0,0
Green Bullet,NZ,D,11,14,6.5,7,1,1.2,38,39,NA,NA,37,39,NA,NA,9.1,9.3,0.5,0.5,28.1,28.3,0,0
Hallertau (US),US,A,3.3,6.5,2.5,6.5,0.5,1,23,26,0.2,0.6,18,25,0.6,1,10,15,0.5,0.5,35,45,0.1,0.6
Hallertau Mittlefruh,DE,A,3,5.5,3,5,0.7,1.3,18,28,NA,NA,14,16,NA,NA,14.5,14.7,0.5,0.5,55,55.2,0,0
HBC 431,US,D,14,16,4,5,1.5,1.5,18,18,NA,NA,33,37,0.5,0.5,13,14,NA,NA,22,26,0.6,0.6
HBC 438,US,D,12.4,14.9,5.1,6,3,3.4,23,25,0.8,1,61,66,0.4,0.5,9.7,10.5,0.5,0.5,8.5,8.7,0.8,1
